temperatura,humidade,unidade_temperatura
"53.0","0.9","f"
"","0.95","f"
"10.577777777777776","0.93","c"
"10.533333333333335","0.89","c"
"10.58888888888889","0.87","c"
"48.71","0.89","f"
"51.84","0.86","f"
"56.37","0.75","f"
"57.0","0.68","f"
"59.0","0.67","f"
"17.183333333333334","0.57","c"
"61.16","0.62","f"
"17.75","0.56","c"
"18.40555555555555","0.54","c"
"64.08","0.59","f"
"17.31111111111111","","c"
"63.51","0.55","f"
"","0.54","f"
"59.25","0.61","f"
"13.25","0.69","c"
"","0.72","c"
"10.699999999999998","0.79","c"
"9.38888888888889","","c"
"7.861111111111111","0.88","c"
"8.405555555555557","0.92","c"
"","0.82","c"
"7.733333333333334","0.96","c"
"6.1388888888888875","0.96","c"
"6.472222222222221","0.95","c"
"43.93","","f"
"8.68888888888889","","c"
"11.994444444444447","0.81","c"
"56.78","0.78","f"
"59.16","0.77","f"
"16.455555555555556","0.68","c"
"17.31111111111111","0.62","c"
"64.17","0.64","f"
"19.038888888888884","0.47","c"
"66.16","","f"
"19.00555555555555","0.55","c"
"19.01111111111111","","c"
"64.16","0.64","f"
"63.08","0.62","f"
"16.188888888888886","0.61","c"
"14.883333333333333","0.72","c"
"14.327777777777776","0.75","c"
"","0.75","f"
"14.372222222222222","0.75","c"
"58.78","0.72","f"
"50.73","0.92","f"
"55.08","0.83","f"
"12.799999999999999","0.85","c"
"12.82777777777778","0.86","c"
"54.08","0.85","f"
"12.266666666666666","0.85","c"
"12.183333333333334","0.82","c"
"12.17222222222222","0.8","c"
"54.88","","f"
"60.09","0.78","f"
"16.022222222222226","","c"
"62.96","0.67","f"
"17.21666666666667","0.71","c"
"17.82777777777778","","c"
"17.82777777777778","0.69","c"
"63.92","","f"
"16.272222222222222","","c"
"13.166666666666668","0.93","c"
"13.255555555555555","0.93","c"
"","0.93","f"
"12.455555555555556","0.91","c"
"54.48","0.9","f"
"47.93","0.8","f"
"10.622222222222222","","c"
"47.7","","f"
"10.533333333333335","0.77","c"
"8.705555555555556","0.83","c"
"9.327777777777776","0.83","c"
"50.66","0.78","f"
"7.233333333333336","0.89","c"
"8.994444444444444","0.84","c"
"","0.73","f"
"13.961111111111112","0.67","c"
"","0.67","c"
"61.13","0.71","f"
"16.366666666666667","0.61","c"
"","0.57","f"
"63.81","","f"
"63.9","0.53","f"
"","0.61","f"
"14.066666666666666","0.71","c"
"57.12","0.76","f"
"12.288888888888888","0.8","c"
"10.02222222222222","0.86","c"
"8.649999999999999","0.86","c"
"9.416666666666668","0.9","c"
"11.827777777777776","0.92","c"
"10.761111111111111","0.91","c"
"12.155555555555557","0.95","c"
"48.54","0.94","f"
"7.1499999999999995","0.94","c"
"10.2","0.95","c"
"10.116666666666667","0.99","c"
"10.16111111111111","0.99","c"
"52.24","0.98","f"
"12.244444444444444","0.99","c"
"13.91111111111111","","c"
"15.616666666666667","0.82","c"
"15.072222222222223","0.86","c"
"59.13","0.82","f"
"14.266666666666667","0.87","c"
"","0.81","c"
"15.027777777777779","0.86","c"
"","0.89","c"
"12.916666666666666","","c"
"12.894444444444446","0.95","c"
"12.399999999999999","0.98","c"
"12.266666666666666","0.99","c"
"12.222222222222221","0.96","c"
"11.25","0.96","c"
"52.75","","f"
"11.538888888888891","0.96","c"
"8.850000000000001","0.96","c"
"52.59","0.96","f"
"52.51","0.96","f"
"52.75","0.96","f"
"11.949999999999998","0.93","c"
"53.55","1.0","f"
"12.633333333333335","0.96","c"
"54.96","","f"
"56.92","0.9","f"
"13.172222222222224","0.94","c"
"59.12","0.86","f"
"63.04","0.75","f"
"61.37","0.76","f"
"","0.74","f"
"15.272222222222224","0.76","c"
"63.42","0.72","f"
"16.22222222222222","0.77","c"
"59.15","0.82","f"
"13.994444444444444","0.88","c"
"","0.92","c"
"11.08888888888889","0.95","c"
"51.97","0.95","f"
"9.883333333333333","0.96","c"
"8.633333333333333","0.96","c"
"49.75","0.96","f"
"8.272222222222222","0.99","c"
"8.866666666666667","","c"
"47.87","0.96","f"
"","1.0","f"
"8.850000000000001","0.99","c"
"52.12","0.93","f"
"12.388888888888888","0.98","c"
"14.144444444444446","0.88","c"
"17.1","0.72","c"
"","0.64","c"
"17.916666666666668","0.68","c"
"19.983333333333334","0.53","c"
"20.07222222222222","0.62","c"
"20.07222222222222","0.56","c"
"68.15","0.58","f"
"66.36","0.63","f"
"17.45","0.62","c"
"60.02","0.74","f"
"54.49","0.91","f"
"12.244444444444444","0.89","c"
"52.55","0.92","f"
"10.555555555555555","0.95","c"
"10.466666666666669","0.93","c"
"10.250000000000002","0.95","c"
"9.355555555555558","","c"
"46.96","0.96","f"
"8.81111111111111","0.96","c"
"7.933333333333334","","c"
"11.93333333333333","","c"
"14.516666666666667","0.84","c"
"65.72","0.68","f"
"20.02777777777778","0.6","c"
"21.03888888888889","0.55","c"
"20.738888888888887","","c"
"22.31666666666667","0.48","c"
"22.11111111111111","0.5","c"
"22.733333333333334","0.38","c"
"73.0","","f"
"70.19","0.41","f"
"68.33","0.45","f"
"","0.68","c"
"17.422222222222224","0.65","c"
"57.13","0.82","f"
"13.28888888888889","0.89","c"
"","0.89","f"
"52.01","0.95","f"
"50.96","","f"
"54.29","0.8","f"
"9.86111111111111","0.96","c"
"8.872222222222222","0.95","c"
"8.672222222222222","0.94","c"
"45.84","1.0","f"
"10.911111111111111","0.99","c"
"14.83888888888889","0.82","c"
"18.8","0.65","c"
"21.094444444444445","0.49","c"
"22.027777777777782","0.49","c"
"22.82777777777778","0.47","c"
"22.916666666666668","0.37","c"
"75.05","0.37","f"
"23.911111111111115","0.4","c"
"23.93333333333333","0.37","c"
"23.916666666666668","0.32","c"
"73.08","","f"
"21.227777777777774","0.48","c"
"66.34","0.51","f"
"62.71","0.63","f"
"58.83","0.72","f"
"55.55","0.87","f"
"12.711111111111112","0.89","c"
"53.83","0.89","f"
"11.81111111111111","","c"
"53.63","0.8","f"
"53.68","","f"
"10.627777777777778","0.86","c"
"8.68888888888889","0.99","c"
"12.555555555555555","0.9","c"
"15.005555555555553","0.78","c"
"","0.74","f"
"","0.67","c"
"70.27","0.57","f"
"22.41111111111111","0.54","c"
"","0.5","c"
"75.07","0.47","f"
"75.13","0.47","f"
"75.13","0.38","f"
"73.6","0.42","f"
"22.82222222222222","0.44","c"
"70.0","0.47","f"
"64.74","0.58","f"
"16.016666666666666","0.72","c"
"15.466666666666669","0.72","c"
"","0.76","c"
"55.96","0.82","f"
"12.733333333333334","0.83","c"
"56.82","0.77","f"
"51.04","0.88","f"
"","0.92","c"
"","0.91","f"
"49.95","0.92","f"
"13.638888888888888","0.9","c"
"62.13","","f"
"65.91","0.65","f"
"21.16111111111111","0.59","c"
"72.66","0.53","f"
"","0.48","c"
"24.00555555555555","0.47","c"
"75.21","0.35","f"
"75.16","0.44","f"
"77.08","0.32","f"
"","0.35","c"
"22.38333333333334","0.45","c"
"70.17","0.52","f"
"64.87","0.62","f"
"","0.67","f"
"15.994444444444444","0.75","c"
"","0.79","c"
"15.444444444444445","0.72","c"
"14.372222222222222","0.75","c"
"56.49","0.9","f"
"55.08","0.82","f"
"12.750000000000002","0.83","c"
"52.55","0.92","f"
"12.333333333333336","","c"
"14.905555555555553","","c"
"15.894444444444446","","c"
"63.00999999999999","0.72","f"
"64.09","0.73","f"
"17.916666666666668","0.72","c"
"19.055555555555557","0.67","c"
"","0.67","c"
"20.26111111111111","0.62","c"
"21.20555555555556","","c"
"21.255555555555556","0.67","c"
"68.42","0.66","f"
"19.07777777777778","0.71","c"
"64.3","0.77","f"
"","","c"
"14.144444444444446","0.89","c"
"14.538888888888891","0.86","c"
"57.45","0.86","f"
"56.12","0.9","f"
"","","c"
"52.86","","f"
"14.422222222222224","0.83","c"
"57.05","0.86","f"
"56.12","0.9","f"
"13.866666666666667","0.9","c"
"14.905555555555553","0.84","c"
"15.933333333333334","0.74","c"
"17.127777777777776","0.65","c"
"65.75","0.58","f"
"18.96111111111111","0.6","c"
"19.994444444444444","","c"
"21.11111111111111","0.5","c"
"69.97","","f"
"21.17777777777778","0.43","c"
"21.227777777777774","0.41","c"
"20.100000000000005","0.45","c"
"19.02777777777778","0.51","c"
"17.849999999999998","0.59","c"
"61.27","0.66","f"
"14.983333333333333","0.72","c"
"58.04","0.65","f"
"57.1","0.6","f"
"12.316666666666668","0.65","c"
"53.17","0.66","f"
"51.49","0.62","f"
"10.13888888888889","0.73","c"
"51.13","0.71","f"
"10.605555555555558","0.69","c"
"10.072222222222223","0.71","c"
"52.09","0.71","f"
"12.888888888888891","0.67","c"
"59.09","0.6","f"
"15.16111111111111","0.59","c"
"16.272222222222222","0.56","c"
"64.04","0.46","f"
"17.938888888888894","0.46","c"
"","","c"
"17.988888888888887","0.43","c"
"","0.51","c"
"17.36111111111111","0.47","c"
"","0.52","c"
"14.122222222222224","0.47","c"
"55.31","0.55","f"
"","0.52","c"
"11.688888888888888","0.57","c"
"11.155555555555555","0.59","c"
"8.627777777777778","0.9","c"
"8.199999999999998","0.9","c"
"45.14","0.77","f"
"","0.93","c"
"45.51","0.93","f"
"4.194444444444443","0.95","c"
"5.855555555555555","0.93","c"
"42.68","","f"
"10.405555555555553","1.0","c"
"54.58","0.78","f"
"56.95","0.77","f"
"60.76","0.63","f"
"","0.57","c"
"17.84444444444445","0.5","c"
"16.427777777777777","0.54","c"
"17.77777777777778","","c"
"64.12","0.45","f"
"63.14","0.5","f"
"15.18333333333333","0.65","c"
"","0.7","f"
"54.85","0.74","f"
"12.194444444444446","0.72","c"
"","0.71","f"
"10.616666666666667","0.74","c"
"52.88","0.57","f"
"11.022222222222224","","c"
"53.4","0.6","f"
"50.75","0.64","f"
"10.299999999999999","0.67","c"
"45.5","0.72","f"
"7.933333333333334","0.68","c"
"51.68","0.67","f"
"11.655555555555553","0.66","c"
"13.93888888888889","0.55","c"
"15.027777777777779","","c"
"60.87","","f"
"15.227777777777776","0.51","c"
"","0.44","c"
"17.299999999999997","0.43","c"
"17.77777777777778","0.43","c"
"17.800000000000004","","c"
"","0.39","c"
"17.200000000000003","0.38","c"
"59.04","0.45","f"
"13.927777777777777","0.47","c"
"54.26","0.57","f"
"54.13","","f"
"12.788888888888891","","c"
"8.677777777777777","0.76","c"
"46.34","0.71","f"
"40.84","0.91","f"
"5.855555555555555","0.78","c"
"","","f"
"5.894444444444444","0.82","c"
"6.5388888888888905","0.84","c"
"42.0","0.84","f"
"39.36","0.89","f"
"39.8","0.96","f"
"5.350000000000001","0.95","c"
"43.22","0.95","f"
"5.455555555555556","0.94","c"
"","0.81","c"
"52.45","0.74","f"
"","0.7","f"
"55.25","0.67","f"
"","0.62","f"
"54.29","0.69","f"
"10.227777777777776","0.75","c"
"46.06","0.78","f"
"6.622222222222224","0.87","c"
"5.727777777777779","0.91","c"
"4.938888888888889","0.91","c"
"39.47","0.95","f"
"35.07","0.95","f"
"48.69","","f"
"37.16","0.92","f"
"35.0","0.92","f"
"2.5166666666666675","0.92","c"
"","0.96","f"
"36.76","1.0","f"
"41.19","0.93","f"
"","0.88","c"
"52.17","0.79","f"
"12.850000000000001","0.7","c"
"","","c"
"58.96","0.51","f"
"57.25","","f"
"15.02222222222222","0.51","c"
"59.08","0.54","f"
"15.088888888888887","0.5","c"
"58.91","0.51","f"
"13.816666666666666","0.59","c"
"12.916666666666666","0.64","c"
"56.91","0.59","f"
"54.96","","f"
"12.650000000000002","0.74","c"
"11.688888888888888","0.8","c"
"51.13","0.88","f"
"3.7555555555555546","0.91","c"
"10.050000000000002","0.92","c"
"9.97777777777778","0.93","c"
"9.377777777777778","0.95","c"
"47.59","0.99","f"
"39.67","0.95","f"
"4.683333333333334","0.93","c"
"2.0111111111111097","0.92","c"
"2.233333333333335","0.85","c"
"36.05","0.82","f"
"2.705555555555554","0.86","c"
"2.7111111111111126","0.93","c"
"3.2055555555555575","0.93","c"
"4.1499999999999995","","c"
"36.22","0.93","f"
"2.305555555555555","0.93","c"
"1.0555555555555547","0.93","c"
"","0.92","f"
"1.8166666666666684","0.93","c"
"2.438888888888889","0.93","c"
"1.877777777777779","","c"
"1.5388888888888905","0.87","c"
"1.2777777777777761","0.92","c"
"","0.92","c"
"33.88","0.83","f"
"35.32","0.86","f"
"36.23","0.83","f"
"1.2777777777777761","0.89","c"
"34.32","0.86","f"
"1.4833333333333343","0.83","c"
"1.2444444444444456","0.84","c"
"4.166666666666667","0.65","c"
"41.04","0.67","f"
"6.6499999999999995","0.64","c"
"6.0555555555555545","0.57","c"
"7.1000000000000005","0.5","c"
"10.094444444444445","0.55","c"
"51.91","0.46","f"
"","0.42","c"
"11.011111111111111","0.42","c"
"50.21","0.49","f"
"7.916666666666667","0.57","c"
"45.2","0.63","f"
"41.09","0.75","f"
"2.422222222222222","","c"
"36.65","0.77","f"
"36.12","0.82","f"
"31.72","0.85","f"
"3.938888888888891","0.81","c"
"33.73","","f"
"-0.16111111111111065","0.92","c"
"2.155555555555557","0.9","c"
"","","f"
"33.72","","f"
"5.594444444444445","","c"
"7.777777777777778","0.66","c"
"11.072222222222223","","c"
"11.055555555555555","0.48","c"
"12.244444444444444","0.43","c"
"","0.41","c"
"12.888888888888891","0.38","c"
"55.25","0.4","f"
"57.0","0.46","f"
"55.44","0.48","f"
"12.383333333333333","","c"
"10.205555555555556","","c"
"46.56","0.62","f"
"6.099999999999998","0.68","c"
"6.672222222222221","","c"
"43.05","0.69","f"
"4.783333333333333","0.74","c"
"4.077777777777779","0.76","c"
"5.98888888888889","0.72","c"
"35.95","0.82","f"
"2.244444444444444","0.91","c"
"0.22777777777777589","","c"
"","0.92","c"
"0.9111111111111114","0.89","c"
"3.6388888888888875","0.79","c"
"10.005555555555553","0.66","c"
"12.244444444444444","0.52","c"
"55.29","0.5","f"
"57.17","0.5","f"
"15.094444444444447","0.44","c"
"61.25","0.43","f"
"17.266666666666666","0.41","c"
"63.12","0.38","f"
"17.38888888888889","","c"
"17.288888888888888","0.38","c"
"15.088888888888887","0.44","c"
"11.71111111111111","0.58","c"
"52.09","0.61","f"
"50.05","0.68","f"
"10.13888888888889","","c"
"69.83","0.87","f"
"19.444444444444443","0.9","c"
"69.3","0.81","f"
"18.79444444444444","0.93","c"
"63.92","0.93","f"
"17.605555555555554","0.95","c"
"65.72","0.93","f"
"22.555555555555554","0.8","c"
"76.57","0.7","f"
"82.46","","f"
"30.13888888888889","0.55","c"
"31.172222222222224","0.42","c"
"90.0","0.38","f"
"88.29","0.32","f"
"31.411111111111115","0.35","c"
"32.6888888888889","0.38","c"
"89.89","0.4","f"
"32.511111111111106","0.41","c"
"87.35","","f"
"29.150000000000002","0.5","c"
"28.150000000000002","0.59","c"
"24.694444444444443","","c"
"75.45","0.7","f"
"23.122222222222224","0.77","c"
"60.01","0.92","f"
"59.89","0.87","f"
"16.53888888888889","","c"
"","0.9","c"
"13.316666666666666","0.9","c"
"","0.92","f"
"12.327777777777776","0.93","c"
"58.94","0.87","f"
"61.27","0.87","f"
"16.25","0.92","c"
"66.0","0.89","f"
"21.350000000000005","0.76","c"
"21.20555555555556","0.76","c"
"22.338888888888885","0.72","c"
"23.033333333333328","","c"
"75.04","0.62","f"
"24.977777777777774","0.51","c"
"23.8","","c"
"23.594444444444445","0.53","c"
"22.505555555555556","0.68","c"
"20.016666666666666","0.78","c"
"67.84","0.74","f"
"19.355555555555558","0.76","c"
"17.883333333333333","0.85","c"
"","0.89","f"
"16.62777777777778","0.92","c"
"","0.84","c"
"17.0","0.92","c"
"17.066666666666666","0.86","c"
"61.71","0.79","f"
"14.983333333333333","0.83","c"
"60.84000000000001","0.81","f"
"16.16111111111111","0.81","c"
"18.84444444444445","0.68","c"
"21.116666666666667","0.68","c"
"","0.62","c"
"23.79444444444444","0.54","c"
"23.88888888888889","0.51","c"
"78.5","0.44","f"
"25.92777777777778","0.43","c"
"77.0","0.42","f"
"24.944444444444446","0.43","c"
"24.92777777777778","0.45","c"
"22.800000000000004","0.51","c"
"66.81","0.7","f"
"","0.78","c"
"","0.75","f"
"61.68","0.79","f"
"60.25","0.83","f"
"15.627777777777778","0.81","c"
"61.18","0.93","f"
"15.577777777777776","0.84","c"
"15.577777777777776","0.81","c"
"60.09","","f"
"15.050000000000002","","c"
"17.066666666666666","0.73","c"
"17.483333333333334","0.72","c"
"63.8","","f"
"65.84","0.69","f"
"67.43","0.67","f"
"18.82222222222222","0.78","c"
"68.0","0.77","f"
"70.07","0.72","f"
"23.65555555555555","0.67","c"
"74.51","0.6","f"
"23.81666666666667","0.62","c"
"","0.7","c"
"67.91","0.7","f"
"66.06","0.8","f"
"63.08","0.88","f"
"16.177777777777777","0.9","c"
"60.5","0.93","f"
"","0.93","c"
"16.71111111111111","0.97","c"
"16.266666666666666","0.97","c"
"16.13888888888889","","c"
"60.96","0.97","f"
"15.555555555555555","0.96","c"
"58.13","1.0","f"
"17.08888888888889","0.99","c"
"63.8","","f"
"19.79444444444444","0.85","c"
"22.016666666666666","0.74","c"
"21.13888888888889","0.73","c"
"21.04444444444444","0.73","c"
"18.93888888888889","0.89","c"
"18.916666666666668","0.9","c"
"20.05","0.78","c"
"69.92","0.73","f"
"20.05","0.78","c"
"20.0","0.83","c"
"65.96","0.9","f"
"17.955555555555552","0.96","c"
"63.88","0.97","f"
"17.733333333333334","0.93","c"
"16.79444444444444","0.97","c"
"16.666666666666668","0.97","c"
"16.16111111111111","0.97","c"
"17.01111111111111","0.91","c"
"16.116666666666664","0.97","c"
"16.116666666666664","0.97","c"
"15.555555555555555","0.96","c"
"57.21","1.0","f"
"61.01","0.93","f"
"60.89","0.93","f"
"61.18","","f"
"64.05","0.89","f"
"18.883333333333333","0.84","c"
"20.18888888888889","0.77","c"
"22.266666666666666","0.67","c"
"22.355555555555554","0.7","c"
"74.96","0.54","f"
"23.88888888888889","0.58","c"
"22.955555555555552","0.56","c"
"22.477777777777774","0.58","c"
"20.85555555555556","0.7","c"
"19.16111111111111","0.82","c"
"17.733333333333334","0.84","c"
"18.238888888888887","0.81","c"
"17.816666666666663","0.88","c"
"63.88","","f"
"17.200000000000003","0.9","c"
"","0.9","f"
"16.549999999999997","0.93","c"
"16.094444444444445","0.96","c"
"","0.93","f"
"14.933333333333334","0.93","c"
"17.08888888888889","0.93","c"
"18.65555555555555","0.85","c"
"19.81111111111111","","c"
"21.06111111111111","0.73","c"
"","","c"
"72.95","0.57","f"
"","0.54","c"
"74.27","0.51","f"
"75.13","","f"
"24.95","","c"
"23.95555555555556","0.53","c"
"23.95555555555556","0.5","c"
"74.95","0.54","f"
"19.26666666666667","0.75","c"
"17.288888888888888","0.87","c"
"","0.93","f"
"62.01","0.87","f"
"59.13","0.93","f"
"58.13","0.93","f"
"64.12","0.8","f"
"14.444444444444445","","c"
"","0.96","c"
"57.98","0.9","f"
"58.87","","f"
"17.044444444444444","0.82","c"
"18.788888888888884","0.78","c"
"70.09","","f"
"74.96","0.62","f"
"76.94","0.56","f"
"26.13333333333334","","c"
"81.07","0.44","f"
"27.355555555555554","0.39","c"
"27.5","0.4","c"
"81.32","0.39","f"
"","0.37","f"
"26.15555555555555","","c"
"75.16","0.54","f"
"72.63","0.58","f"
"21.13888888888889","0.6","c"
"20.438888888888894","0.67","c"
"20.427777777777774","0.7","c"
"19.355555555555558","0.74","c"
"65.75","0.76","f"
"","0.85","c"
"17.22222222222222","0.84","c"
"16.644444444444446","0.87","c"
"16.549999999999997","","c"
"16.094444444444445","","c"
"17.666666666666668","0.84","c"
"20.78333333333333","0.7","c"
"22.733333333333334","","c"
"78.83","0.55","f"
"26.12777777777778","0.58","c"
"29.61111111111111","0.51","c"
"","","c"
"31.71111111111111","0.45","c"
"30.599999999999998","0.36","c"
"31.261111111111106","0.41","c"
"88.39","0.41","f"
"87.27","0.48","f"
"29.07222222222222","0.58","c"
"","0.66","f"
"22.75555555555555","0.79","c"
"22.68888888888889","0.79","c"
"","0.84","c"
"21.550000000000004","0.81","c"
"70.59","0.82","f"
"","0.92","c"
"19.86111111111111","0.88","c"
"19.333333333333332","0.87","c"
"65.75","","f"
"65.92","0.9","f"
"","0.87","c"
"71.79","0.81","f"
"24.95","0.69","c"
"77.0","0.74","f"
"84.43","0.67","f"
"85.33","0.62","f"
"31.272222222222226","0.5","c"
"89.04","","f"
"90.42","0.47","f"
"32.91111111111111","0.42","c"
"33.17777777777778","0.4","c"
"88.92","0.44","f"
"86.3","0.54","f"
"79.66","0.64","f"
"22.916666666666668","0.73","c"
"74.09","0.73","f"
"","0.83","f"
"22.600000000000005","0.77","c"
"19.983333333333334","0.9","c"
"69.72","","f"
"65.97","0.9","f"
"65.01","0.93","f"
"65.93","0.93","f"
"17.27777777777778","0.99","c"
"19.916666666666664","0.87","c"
"23.600000000000005","0.74","c"
"78.79","0.61","f"
"83.52","0.55","f"
"29.366666666666667","0.5","c"
"30.38888888888889","0.47","c"
"88.87","0.45","f"
"32.422222222222224","0.41","c"
"90.95","0.42","f"
"90.01","0.39","f"
"31.688888888888894","","c"
"31.622222222222224","0.44","c"
"83.85","0.64","f"
"25.455555555555552","0.68","c"
"73.04","0.84","f"
"23.216666666666672","0.79","c"
"22.23888888888889","0.85","c"
"68.75","0.84","f"
"19.88333333333334","","c"
"16.81111111111111","0.92","c"
"19.377777777777776","0.9","c"
"18.86666666666666","0.93","c"
"18.883333333333333","0.93","c"
"17.872222222222224","0.97","c"
"18.93888888888889","0.99","c"
"68.16","0.92","f"
"69.96","0.87","f"
"22.17777777777778","0.81","c"
"23.533333333333335","0.71","c"
"74.92","0.69","f"
"24.95555555555556","0.62","c"
"25.92222222222222","0.58","c"
"24.961111111111116","0.62","c"
"24.79444444444444","0.58","c"
"23.755555555555556","0.62","c"
"22.127777777777776","0.68","c"
"21.06111111111111","0.68","c"
"21.06666666666667","0.68","c"
"","0.84","f"
"18.266666666666666","0.84","c"
"","0.86","f"
"69.96","0.9","f"
"","","c"
"","0.85","c"
"19.977777777777774","0.93","c"
"20.99444444444445","0.88","c"
"19.988888888888894","0.88","c"
"18.86666666666666","0.97","c"
"22.08888888888889","0.82","c"
"74.79","0.75","f"
"28.33888888888889","","c"
"30.061111111111114","0.55","c"
"92.09","0.55","f"
"33.461111111111116","0.46","c"
"35.49444444444444","0.5","c"
"34.13333333333333","0.44","c"
"32.97777777777778","0.43","c"
"31.900000000000002","0.45","c"
"32.738888888888894","0.42","c"
"31.72222222222222","0.45","c"
"30.12777777777778","0.55","c"
"79.54","0.65","f"
"23.81666666666667","0.75","c"
"23.311111111111106","0.79","c"
